Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 11 15:45:41 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/multicast/multicast_16.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
-------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized3 |       2863 |       1791 |    1072 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |        message_encoder__parameterized2_2 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |               nic_dual__parameterized1_3 |        150 |        150 |       0 |    0 |  198 |      0 |      0 |          0 |
|         (NIC)                                                                                   |               nic_dual__parameterized1_3 |         27 |         27 |       0 |    0 |  114 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |      fifo_sync_wrapper__parameterized6_6 |         65 |         65 |       0 |    0 |   46 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized7_9 |         65 |         65 |       0 |    0 |   46 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_7 |         59 |         59 |       0 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_8 |         59 |         59 |       0 |    0 |   38 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized3 |       2533 |       1461 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized3 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |               picorv32__parameterized0_4 |       1488 |       1440 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |               picorv32__parameterized0_4 |       1267 |       1219 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                 picorv32_pcpi_fast_mul_5 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized3 |        178 |        178 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized5 |       2872 |       1800 |    1072 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |          message_encoder__parameterized2 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized1 |        133 |        133 |       0 |    0 |  198 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized1 |         23 |         23 |       0 |    0 |  114 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized6 |         60 |         60 |       0 |    0 |   46 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized7 |         60 |         60 |       0 |    0 |   46 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_0 |         51 |         51 |       0 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_1 |         51 |         51 |       0 |    0 |   38 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized5 |       2554 |       1482 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized5 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |                 picorv32__parameterized0 |       1510 |       1462 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |                 picorv32__parameterized0 |       1289 |       1241 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                   picorv32_pcpi_fast_mul |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized5 |        183 |        183 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[0].PERIPHERAL_NODE_GEN.ROM_GEN.ROM                       |                                 rom_node |        307 |        271 |      36 |    0 |  290 |      0 |      0 |          0 |
|       BURST_ROM                                                                                 |                                ROM_burst |         66 |         66 |       0 |    0 |   82 |      0 |      0 |          0 |
|         (BURST_ROM)                                                                             |                                ROM_burst |         38 |         38 |       0 |    0 |   70 |      0 |      0 |          0 |
|         ROM_MEMORY                                                                              |                                      rom |         28 |         28 |       0 |    0 |   12 |      0 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized3 |        143 |        107 |      36 |    0 |  109 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized3 |          0 |          0 |       0 |    0 |   35 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized8 |         70 |         54 |      16 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized9 |         70 |         54 |      16 |    0 |   36 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |        fifo_sync_wrapper__parameterized2 |         73 |         53 |      20 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized1 |         73 |         53 |      20 |    0 |   38 |      0 |      0 |          0 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized7 |         98 |         98 |       0 |    0 |   99 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[1].PERIPHERAL_NODE_GEN.ROUTER_GEN.ROUTER                 | hoplite_router_multicast__parameterized9 |         40 |         40 |       0 |    0 |   77 |      0 |      0 |          0 |
+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


